podskupina_kategorie;počet zaměstnanců;medián;1. decil;1. kvartil;3. kvartil;9. decil;průměr;odměny;příplatky;náhrady;placená doba;;;;;;;;;
0110 Generálové a důstojníci v ozbrojených silách;6,7;66 054;49 935;56 077;76 866;87 131;67 700;0,8;9,3;0,0;175,6;;;;;;;;;
 01102 Vyšší důstojníci v ozbrojených silách;2,4;80 148;71 429;73 732;87 123;93 705;81 855;1,5;9,6;0,0;175,4;;;;;;;;;
 01103 Nižší důstojníci v ozbrojených silách ;4,3;59 217;47 791;52 747;65 326;69 948;59 531;0,4;9,0;0,0;175,7;;;;;;;;;
0210 Poddůstojníci v ozbrojených silách;8,8;37 588;33 010;34 998;42 130;45 517;38 648;0,0;7,7;0,0;177,3;;;;;;;;;
0310 Zaměstnanci v ozbrojených silách (kr.generálů,důstojníků,poddůstojníků);11,1;48 875;22 243;42 677;53 836;58 216;46 019;0,0;10,3;0,0;176,4;;;;;;;;;
 03101 Praporčíci v ozbrojených silách ;8,5;51 074;45 000;47 494;55 040;59 227;51 880;0,0;11,7;0,0;176,5;;;;;;;;;
1112 Nejvyšší státní úředníci;1,8;81 810;54 982;68 101;103 683;138 086;89 856;11,0;34,8;8,0;173,7;;;;;;;;;
 11123 Nejvyšší státní úředníci ústředních státních orgánů;0,4;113 214;83 691;96 196;143 735;170 553;121 080;12,0;41,0;7,7;173,6;;;;;;;;;
 11125 Nejvyšší státní úředníci v oblasti veřejné správy (kromě ústředních státních orgánů);1,0;80 191;58 724;68 852;91 772;117 385;84 040;12,3;33,6;7,7;174,0;;;;;;;;;
1113 Představitelé samosprávy;0,2;67 230;38 948;50 093;80 211;93 972;67 145;12,5;30,0;7,7;173,7;;;;;;;;;
1120 Nejvyšší představitelé společností (kr.politických,zájmových a příbuzných organizací);0,9;87 507;47 064;68 535;104 163;128 813;89 415;14,0;35,0;7,4;173,3;;;;;;;;;
 11201 Nejvyšší představitelé velkých společností a institucí ;0,4;95 440;62 396;79 939;118 967;145 654;101 672;14,9;37,2;7,7;173,5;;;;;;;;;
 11202 Nejvyšší představitelé středních společností a institucí ;0,3;82 924;38 095;56 900;100 289;112 679;80 120;12,8;32,7;6,9;172,5;;;;;;;;;
 11203 Nejvyšší představitelé malých společností a institucí ;0,2;78 605;48 168;60 628;92 247;101 943;79 063;13,2;33,2;7,5;174,3;;;;;;;;;
1211 Řídící pracovníci v oblasti financí (kromě finančních a pojišťovacích služeb);1,3;68 640;48 762;56 321;87 442;108 801;75 092;13,6;29,9;8,0;173,3;;;;;;;;;
 12111 Ekonomičtí a finanční náměstci (ředitelé);0,3;81 605;55 365;64 770;104 781;135 373;90 858;16,3;34,1;7,8;173,8;;;;;;;;;
 12112 Řídící pracovníci v oblasti ekonomiky a financí (kr.finančních,pojišťovacích služeb);0,8;66 669;47 797;54 870;83 968;107 034;71 992;12,9;28,6;8,1;173,0;;;;;;;;;
 12113 Řídící pracovníci v oblasti účetnictví a kontrolingu;0,1;68 795;50 500;59 356;86 724;108 460;74 171;13,6;29,2;8,0;173,5;;;;;;;;;
1212 Řídící pracovníci v oblasti lidských zdrojů;0,7;68 562;57 503;63 697;81 857;103 647;76 804;18,3;24,5;7,4;175,3;;;;;;;;;
 12122 Řídící pracovníci v oblasti personální ;0,2;73 741;53 055;61 559;91 601;115 202;80 214;15,0;30,5;8,2;174,1;;;;;;;;;
 12123 Řídící pracovníci v oblasti zaměstnanosti;0,4;67 550;61 297;64 117;70 957;90 037;70 629;19,7;18,4;6,8;176,4;;;;;;;;;
1219 Ostatní řídící pracovníci správy podniku, administrativních a podpůrných činností ;2,1;68 317;47 147;56 060;85 500;104 727;72 549;12,3;30,1;7,6;174,0;;;;;;;;;
 12192 Řídící pracovníci v oblasti hospodaření s majetkem státu a organizací ;0,5;71 064;45 961;56 106;90 138;111 930;75 951;13,4;31,1;7,8;173,8;;;;;;;;;
 12196 Řídící pracovníci zahraničních vztahů a služeb, vnitřních věcí státu a reg. roz.;0,4;73 634;53 767;60 792;88 996;109 273;76 831;11,4;30,8;7,1;174,2;;;;;;;;;
1221 Řídící pracovníci v oblasti obchodu, marketingu a v příbuzných oblastech ;0,2;62 014;44 070;50 468;78 066;104 135;70 381;14,6;30,3;7,7;173,5;;;;;;;;;
1223 Řídící pracovníci v oblasti výzkumu a vývoje;0,2;73 442;47 305;57 007;94 652;123 616;80 836;14,1;30,0;6,7;173,8;;;;;;;;;
1311 Řídící pracovníci v zemědělství, lesnictví, myslivosti a v oblasti životního prostředí ;0,6;71 706;48 367;56 376;84 247;108 630;74 068;11,0;28,3;7,3;173,6;;;;;;;;;
 13112 Řídící pracovníci v zemědělství a zahradnictví;0,2;68 614;47 450;51 961;79 268;89 920;68 408;10,6;26,5;6,8;173,9;;;;;;;;;
 13115 Řídící pracovníci v oblasti životního prostředí;0,3;76 598;54 155;62 086;93 095;115 876;81 006;12,0;29,3;7,5;173,3;;;;;;;;;
1323 Řídící pracovníci ve stavebnictví a zeměměřictví;0,2;59 962;44 608;50 566;71 182;87 926;63 712;12,3;26,6;7,1;173,4;;;;;;;;;
1324 Řídící pracovníci v dopravě, logistice a příbuzných oborech;0,4;64 986;40 863;50 528;82 426;104 312;69 012;12,4;29,4;7,6;174,3;;;;;;;;;
 13243 Řídící pracovníci v oblasti dopravy;0,2;68 268;43 244;57 150;85 333;111 288;72 627;12,7;30,0;7,4;174,2;;;;;;;;;
1330 Řídící pracovníci v oblasti informačních a komunikačních technologií;0,4;76 016;50 595;63 320;91 210;113 332;79 881;11,7;30,2;6,7;174,9;;;;;;;;;
 13302 Řídící pracovníci v oblasti informačních technologií a činností;0,3;76 679;50 738;63 054;92 222;113 332;79 991;12,2;29,7;6,6;174,7;;;;;;;;;
1341 Řídící pracovníci v oblasti péče o děti;3,8;56 622;43 483;48 509;65 932;73 971;58 037;10,2;24,1;7,3;173,6;;;;;;;;;
 13411 Řídící pracovníci v oblasti předškolní výchovy (kr.žáků se spec. vzděl. potřeb.);2,8;54 906;42 788;47 601;64 664;71 983;56 696;10,0;23,3;7,1;173,6;;;;;;;;;
 13413 Řídící pracovníci v oblasti mimoškolní výchovy;0,3;62 236;44 407;52 410;72 689;82 118;63 344;11,1;25,8;9,2;173,7;;;;;;;;;
1342 Řídící pracovníci v oblasti zdravotnictví;1,3;95 821;62 903;75 807;157 448;208 256;120 798;13,4;35,7;7,0;181,6;;;;;;;;;
 13422 Primáři v oblasti zdravotnictví;0,4;173 352;117 141;139 456;206 609;239 865;178 434;14,1;39,9;6,3;189,9;;;;;;;;;
 13424 Vrchní sestry v oblasti zdravotnictví;0,5;81 508;62 185;70 246;90 753;103 818;82 063;9,6;29,4;7,7;176,7;;;;;;;;;
1343 Řídící pracovníci v oblasti péče o seniory;0,4;62 077;44 865;51 922;71 124;86 829;63 549;13,5;23,5;7,8;174,0;;;;;;;;;
1344 Řídící pracovníci v sociální oblasti (kromě péče o seniory);0,9;70 709;52 189;60 424;85 205;96 344;73 450;12,8;26,6;7,2;174,2;;;;;;;;;
 13441 Řídící pracovníci v oblasti důchodových, nemocenských, sociálních a jiných dávek;0,5;68 124;51 488;59 502;78 574;90 665;70 358;13,2;22,5;6,1;174,6;;;;;;;;;
 13442 Řídící pracovníci v oblasti pobytových sociálních služeb (kromě péče o seniory);0,3;80 764;53 052;65 029;92 186;103 997;79 562;12,2;33,2;9,1;173,5;;;;;;;;;
1345 Řídící pracovníci v oblasti vzdělávání;9,7;73 755;55 967;63 607;86 755;99 196;76 216;12,0;30,0;6,8;173,7;;;;;;;;;
 13451 Řídící pracovníci na základních školách;6,1;72 440;56 050;63 276;83 775;94 845;74 389;11,1;29,7;7,0;173,7;;;;;;;;;
 13452 Řídící pracovníci na středních školách;1,9;82 082;59 437;68 163;96 443;108 179;83 261;14,8;31,1;6,9;173,8;;;;;;;;;
1349 Řídící pracovníci knihoven, muzeí, v oblasti práva a bezpečnosti a v dalších oblastech;2,8;74 784;55 035;65 832;84 637;98 829;76 425;8,1;27,6;9,4;168,5;;;;;;;;;
 13491 Řídící pracovníci knihoven, muzeí a v příbuzných oblastech;0,4;57 244;41 747;49 397;67 630;82 624;60 382;8,5;25,0;6,4;174,1;;;;;;;;;
 13492 Řídící pracovníci obrany a bezpečnosti státu a požární ochrany;1,7;76 061;60 818;68 547;84 700;98 811;78 437;7,0;28,4;10,1;167,4;;;;;;;;;
 13494 Řídící pracovníci v právní oblasti;0,2;85 437;67 246;74 652;98 458;117 430;88 954;11,2;30,8;8,6;170,8;;;;;;;;;
1412 Řídící pracovníci v oblasti stravovacích služeb;0,2;46 023;32 733;37 546;59 615;70 431;49 682;11,5;22,6;4,9;173,5;;;;;;;;;
 14125 Řídící pracovníci ve školních jídelnách;0,2;52 266;33 987;38 748;61 464;72 712;52 082;11,9;23,2;4,7;173,6;;;;;;;;;
1431 Řídící pracovníci v oblasti kultury, vydavatelství, sportu a zábavy;0,4;55 578;37 775;45 574;67 813;83 885;59 086;11,6;26,9;5,7;175,1;;;;;;;;;
1439 Řídící pracovníci cestovních kanceláří,nemovitostí,opravárenských,osobních aj. služeb;0,3;65 766;43 092;52 032;80 154;94 658;68 579;11,8;27,2;7,4;174,3;;;;;;;;;
2131 Biologové, botanici, zoologové a příbuzní specialisté;1,4;55 879;36 108;42 551;69 903;84 695;58 310;6,0;19,2;7,9;176,6;;;;;;;;;
2132 Specialisté v oblasti zemědělství, lesnictví, rybářství a vodního hospodářství;1,5;45 303;34 448;39 309;51 365;57 507;46 161;6,7;14,6;7,1;173,4;;;;;;;;;
2133 Specialisté v oblasti ochrany životního prostředí (kromě průmyslové ekologie);1,8;45 064;34 995;39 402;51 809;60 606;46 705;8,5;14,7;7,5;173,6;;;;;;;;;
2141 Specialisté v oblasti průmyslového inženýrství a v příbuzných oblastech;1,3;49 917;37 683;42 751;58 879;71 910;53 002;10,0;20,3;7,7;174,1;;;;;;;;;
2211 Praktičtí lékaři;1,2;95 061;58 260;72 478;117 266;144 321;98 253;6,2;29,4;7,4;195,5;;;;;;;;;
2212 Lékaři specialisté;10,2;121 306;72 430;92 912;152 618;184 113;126 079;10,3;32,8;6,7;195,5;;;;;;;;;
 22121 Lékaři v interních oborech;1,8;130 569;88 840;105 453;156 274;189 871;135 138;9,4;34,0;6,3;193,1;;;;;;;;;
 22122 Lékaři v chirurgických oborech;1,2;147 602;91 663;115 782;172 150;201 944;147 306;11,2;35,1;6,1;199,6;;;;;;;;;
 22128 Lékaři bez atestace (kromě oborů praktického lékařství);2,7;89 911;59 131;72 342;110 643;138 157;95 258;11,5;26,1;7,5;199,6;;;;;;;;;
2221 Všeobecné sestry se specializací;11,5;67 273;50 951;58 617;75 387;84 207;67 793;4,4;28,3;7,5;174,2;;;;;;;;;
 22211 Staniční sestry (kromě sester v oblasti porodní asistence);2,5;68 685;53 167;60 595;77 952;90 013;70 613;6,9;27,5;7,7;178,2;;;;;;;;;
 22212 Sestry pro intenzivní péči (včetně pediatrie a neonatologie);2,7;71 163;55 792;64 427;77 843;84 967;71 066;3,7;30,0;7,4;174,4;;;;;;;;;
 22214 Sestry pro pediatrii;1,7;63 026;48 164;54 330;70 021;77 439;62 568;3,1;27,3;6,7;169,5;;;;;;;;;
2320 Učitelé odborných předmětů, praktického vyučování, odb. výcviku, lektoři ;13,2;45 724;37 989;41 051;51 541;57 654;47 139;7,7;11,8;5,5;174,1;;;;;;;;;
 23201 Učitelé odborných předmětů (kromě pro žáky se speciálními vzdělávacími potřebami);7,2;49 221;40 563;44 871;54 367;59 974;50 234;7,8;13,4;5,5;174,0;;;;;;;;;
 23203 Učitelé odborného výcviku (kromě pro žáky se speciálními vzdělávacími potřebami);5,0;41 615;36 540;38 931;44 909;49 159;42 599;7,6;8,7;5,7;174,2;;;;;;;;;
2330 Učitelé na středních školách (kr.odbor.předmětů), konzervatořích, 2.st.základních škol;45,4;47 810;39 996;43 529;52 414;57 349;48 598;8,3;12,3;5,0;174,0;;;;;;;;;
 23301 Učitelé všeobecně vzdělávacích předmětů na středních školách ;17,1;49 723;41 415;45 291;54 423;59 594;50 482;8,5;13,6;5,0;174,1;;;;;;;;;
 23303 Učitelé na 2. stupni základních škol ;27,6;46 767;39 383;42 650;51 026;55 481;47 430;8,3;11,4;4,9;173,9;;;;;;;;;
2341 Učitelé na 1. stupni základních škol ;26,2;47 219;39 976;43 187;51 027;54 853;47 510;7,7;10,4;5,0;173,8;;;;;;;;;
 23411 Učitelé na 1. stupni základních škol (kromě v přípravných třídách základních škol);25,9;47 263;40 042;43 244;51 054;54 874;47 554;7,7;10,4;5,0;173,8;;;;;;;;;
2342 Učitelé v oblasti předškolní výchovy;26,2;37 334;33 224;34 986;40 056;43 214;38 061;7,0;4,5;6,0;173,7;;;;;;;;;
 23526 Vychovatelé pro děti se speciálními vzdělávacími potřebami ;2,9;44 712;37 100;40 528;49 495;55 283;45 671;5,2;17,0;9,9;173,9;;;;;;;;;
2354 Lektoři a učitelé hudby na ostatních školách;3,2;45 076;38 370;41 702;48 758;53 198;45 810;8,7;6,5;3,7;173,9;;;;;;;;;
2355 Lektoři a učitelé umění na ostatních školách;1,6;45 210;38 565;41 566;48 964;53 346;45 828;8,6;6,8;3,3;174,0;;;;;;;;;
2359 Speciální pedagogové, vychovatelé (kr.spec.vzděl.potřeb), ostatní pedagogové;13,8;39 258;33 856;36 223;43 586;49 704;40 834;6,4;8,6;5,9;173,8;;;;;;;;;
 23591 Speciální pedagogové;1,7;46 879;37 431;41 748;52 370;58 796;47 903;6,4;11,1;7,1;174,0;;;;;;;;;
 23593 Vychovatelé (kromě vychovatelů pro osoby se speciálními vzdělávacími potřebami);9,6;38 526;33 898;35 912;41 684;45 797;39 356;6,6;7,1;5,1;173,7;;;;;;;;;
 23594 Pedagogové volného času;1,6;39 474;33 941;36 362;43 414;49 071;41 192;5,7;11,4;8,9;174,3;;;;;;;;;
2411 Specialisté v oblasti účetnictví;3,5;47 442;36 070;41 264;55 661;66 176;50 028;10,0;19,1;7,6;173,9;;;;;;;;;
 24111 Hlavní účetní;1,7;45 302;35 434;40 007;53 189;62 238;47 692;9,8;18,8;7,3;173,8;;;;;;;;;
2422 Specialisté v oblasti strategie a politiky organizací;13,8;53 971;37 983;44 438;65 339;77 385;56 525;8,0;22,2;7,7;173,8;;;;;;;;;
 24222 Specialisté analytici, metodici v oblasti politiky firem a veřejné správy;2,0;51 533;37 110;42 088;60 110;71 175;52 775;8,4;18,9;7,5;174,1;;;;;;;;;
 24225 Specialisté v oblasti hospodaření s majetkem státu a organizací;2,2;48 493;36 337;42 510;58 416;71 026;51 525;8,3;19,0;7,8;173,7;;;;;;;;;
 24227 Specialisté v oblasti správy školství, kultury a zdravotnictví;1,6;51 695;37 049;43 506;59 537;72 752;53 384;10,6;17,6;7,1;173,7;;;;;;;;;
 24228 Specialisté v oblasti vnitřních věcí státu a regionálního rozvoje;1,5;55 909;40 357;47 780;63 984;76 924;58 349;7,8;21,0;7,6;174,6;;;;;;;;;
2522 Systémoví administrátoři, správci počítačových sítí ;1,8;47 662;37 462;41 914;55 527;66 389;50 296;7,1;20,1;7,3;174,2;;;;;;;;;
2612 Asistenti soudců a příbuzní pracovníci;2,1;44 616;37 711;40 944;48 246;52 504;45 055;8,6;10,1;8,1;173,4;;;;;;;;;
2619 Podnikoví právnici, právníci legislativci, ostatní specialisté v oblasti práva ;2,9;52 965;39 648;45 055;63 809;76 165;56 138;9,0;20,0;7,9;173,9;;;;;;;;;
 26195 Podnikoví právníci;1,1;55 874;41 911;48 372;66 316;79 231;59 051;11,5;21,9;8,1;174,1;;;;;;;;;
2621 Specialisté archiváři, kurátoři a správci památkových objektů;1,6;40 544;31 904;35 956;46 313;53 460;42 417;5,7;13,3;6,5;173,5;;;;;;;;;
2634 Psychologové;1,5;46 930;37 713;41 286;54 307;65 241;50 065;7,7;13,0;7,9;174,0;;;;;;;;;
2635 Specialisté v sociální oblasti;2,9;44 478;34 539;39 509;49 710;56 391;45 343;7,2;17,4;7,7;173,7;;;;;;;;;
 26351 Sociální pracovníci specialisté a další spec. v soc. oblasti ve veřejné správy;1,4;45 894;36 653;40 917;51 449;58 872;47 305;8,9;19,0;7,7;174,1;;;;;;;;;
2652 Hudebníci, zpěváci a skladatelé;1,9;42 974;34 234;38 503;47 996;57 456;44 226;3,2;11,1;1,9;173,2;;;;;;;;;
3112 Stavební technici;3,0;43 360;34 065;38 285;49 648;56 284;44 798;8,3;18,6;7,5;173,6;;;;;;;;;
 31124 Stavební technici přípravy a realizace investic, inženýringu;1,1;46 449;37 404;41 576;52 853;59 744;47 934;10,2;19,1;7,4;173,4;;;;;;;;;
3118 Technici kartografové, zeměměřiči a pracovníci v příbuzných oborech;2,9;34 461;28 262;31 519;37 394;40 874;34 701;3,3;7,7;6,1;173,3;;;;;;;;;
3119 Technici v ostatních oborech (textilní, kožedělný, polygrafický, dřevařský apod.);2,5;39 247;30 187;33 764;45 437;55 785;41 257;5,8;20,4;7,1;173,6;;;;;;;;;
 31198 Technici bezpečnosti práce,ochrany zdraví,racionalizace výroby,ergonomických studií;1,2;36 561;29 906;32 588;41 083;45 592;37 619;4,6;18,6;6,8;172,1;;;;;;;;;
3211 Technici a asistenti pro obsluhu lékařských zařízení;1,4;63 659;44 037;51 714;79 236;99 150;68 117;8,5;25,1;8,2;186,2;;;;;;;;;
 32112 Radiologičtí asistenti;1,2;64 656;45 560;53 113;80 749;99 502;69 317;8,8;25,2;8,1;186,4;;;;;;;;;
3212 Odborní laboranti a laboratorní asistenti v oblasti zdravotnictví;2,8;53 154;39 159;44 652;63 006;73 348;55 141;4,1;19,3;8,1;179,8;;;;;;;;;
 32121 Zdravotní laboranti;2,6;53 777;40 623;45 535;63 420;73 532;56 002;4,2;19,4;8,1;179,9;;;;;;;;;
3221 Všeobecné sestry bez specializace;18,3;57 357;45 133;50 415;65 814;74 271;58 848;3,8;25,5;7,8;171,3;;;;;;;;;
 32211 Všeobecné sestry bez specializace (kromě dětských sester);18,0;57 419;45 189;50 515;65 902;74 363;58 931;3,8;25,5;7,8;171,4;;;;;;;;;
3255 Odborní pracovníci v oblasti rehabilitace;1,0;46 934;34 592;42 135;52 257;58 760;47 206;4,4;12,9;8,2;174,2;;;;;;;;;
3256 Praktické sestry;3,0;48 508;36 764;42 101;55 401;62 601;49 194;4,7;28,3;8,1;170,5;;;;;;;;;
3257 Asistenti ochrany veřejného zdraví;0,9;38 140;31 761;35 854;41 196;46 561;38 943;3,9;13,6;8,0;173,2;;;;;;;;;
3258 Zdravotničtí záchranáři;3,2;67 813;56 792;62 016;75 165;85 182;69 747;3,5;33,1;8,8;174,6;;;;;;;;;
3259 Nutriční asistenti,ergoterapeuti bez specializace,ost.odborní zdravotničtí pracovníci;1,0;42 907;32 903;37 379;49 151;58 120;44 582;7,5;13,8;7,4;174,0;;;;;;;;;
3313 Odborní pracovníci v oblasti účetnictví, ekonomiky a personalistiky;15,6;42 452;33 965;37 618;48 788;57 058;44 313;9,5;16,5;7,5;173,8;;;;;;;;;
 33131 Odborní účetní všeobecní;6,1;41 972;33 529;37 135;48 180;55 876;43 652;10,1;15,5;7,3;173,7;;;;;;;;;
 33132 Odborní účetní mzdoví;1,9;42 946;34 896;38 720;49 033;55 759;44 573;10,1;16,6;7,5;174,3;;;;;;;;;
 33133 Odborní účetní finanční a investiční;2,3;40 719;33 246;36 462;47 325;55 584;42 955;7,8;17,3;7,7;173,5;;;;;;;;;
 33137 Odborní pracovníci kalkulací, cen, nákladů a rozpočtů;1,1;43 934;36 613;39 863;48 316;55 850;45 448;10,3;15,5;7,6;174,5;;;;;;;;;
 33138 Odborní pracovníci v oblasti personalistiky, ekonomové práce;0,9;45 388;35 795;40 153;53 705;63 057;47 933;9,9;18,8;7,6;174,1;;;;;;;;;
3333 Odborní pracovníci úřadů práce;2,0;43 371;37 263;40 318;46 160;48 498;43 363;10,9;12,0;6,5;175,9;;;;;;;;;
3339 Obchodní,reklamační referenti,pracovníci propagace,reklamy,ostatní zprostředkovatelé;1,1;38 749;30 029;34 611;44 309;52 027;40 604;7,3;18,2;6,8;174,4;;;;;;;;;
3341 Vedoucí v oblasti administrativních agend;3,0;58 179;38 058;45 741;71 017;85 293;60 542;12,3;26,1;7,7;173,6;;;;;;;;;
3342 Odborní administrativní pracovníci v právní oblasti;2,6;38 354;30 594;33 813;43 262;48 707;39 363;8,6;12,7;7,8;173,6;;;;;;;;;
3343 Odborní pracovníci v administrativě a správě organizace;29,4;41 076;31 928;35 895;48 047;58 228;43 443;8,1;17,4;7,9;173,2;;;;;;;;;
 33431 Odborní asistenti v administrativě;6,6;40 652;31 932;35 717;46 795;53 931;42 391;9,6;17,6;7,6;173,7;;;;;;;;;
 33432 Odborní pracovníci hospodářské správy;6,0;40 733;33 211;36 439;48 088;59 371;43 816;7,3;17,5;8,0;172,7;;;;;;;;;
 33433 Odborní pracovníci organizace a řízení;2,6;41 794;33 719;37 186;50 660;60 966;45 453;7,1;17,3;8,1;173,6;;;;;;;;;
 33436 Odborní pracovníci  zahr. vztahů a služeb, vnitřních věcí státu a reg. rozvoje;3,0;42 769;30 315;36 234;54 502;65 749;45 980;6,1;17,8;9,3;171,0;;;;;;;;;
 33437 Odborní pracovníci v oblasti správy školství, kultury a zdravotnictví;1,5;41 350;32 263;36 658;47 450;56 876;43 464;10,6;15,9;7,1;174,0;;;;;;;;;
3351 Pracovníci Celní správy ČR;3,2;55 125;41 348;47 813;61 576;68 430;55 091;5,6;15,8;9,9;164,1;;;;;;;;;
3352 Pracovníci veřejné správy v oblasti daní;10,1;40 679;34 060;37 244;45 641;52 429;42 111;2,6;20,1;7,5;173,3;;;;;;;;;
3353 Pracovníci veřejné správy v oblasti sociálních a jiných dávek;8,1;37 581;31 607;34 509;41 729;47 941;38 937;8,2;11,5;5,5;174,3;;;;;;;;;
3354 Pracovníci veřejné správy vydávající různá povolení ;1,6;41 668;34 278;37 631;46 987;52 970;42 936;7,8;17,4;7,4;173,7;;;;;;;;;
3355 Policejní inspektoři, komisaři a radové Policie ČR;37,3;56 600;40 324;47 541;66 175;76 285;58 009;2,6;21,2;12,2;167,2;;;;;;;;;
 33551 Inspektoři Policie ČR;16,7;47 277;35 544;41 236;54 446;62 439;48 609;1,8;19,7;12,5;167,7;;;;;;;;;
 33552 Vrchní inspektoři Policie ČR;8,6;58 779;48 760;53 231;64 715;71 321;59 677;2,1;20,8;12,1;166,5;;;;;;;;;
