podskupina_kategorie;počet zaměstnanců;medián;1. decil;1. kvartil;3. kvartil;9. decil;průměr;odměny;příplatky;náhrady;placená doba;;;;;;;;;
 33553 Komisaři Policie ČR;6,0;63 160;52 568;57 362;68 791;74 680;63 643;2,3;22,0;11,9;167,2;;;;;;;;;
 33554 Vrchní komisaři Policie ČR;4,4;70 102;57 343;63 470;77 907;87 317;71 464;3,5;22,5;12,3;166,7;;;;;;;;;
 33555 Radové Policie ČR;1,6;83 837;68 522;75 315;99 809;117 450;89 254;6,9;26,4;11,2;166,5;;;;;;;;;
3359 Pracovníci veřejné správy v oblasti státních regulací jinde neuvedení;1,6;46 242;35 187;40 767;52 259;63 682;47 825;8,9;17,0;7,2;175,1;;;;;;;;;
3411 Odborní pracovníci v právní oblasti, bezpečnosti a v příbuzných oborech;1,0;43 136;33 793;38 403;50 510;62 647;46 165;9,4;17,5;7,5;174,6;;;;;;;;;
3412 Odborní pracovníci v sociální oblasti;7,4;43 914;34 227;39 051;48 471;53 594;44 092;7,6;15,1;7,6;174,0;;;;;;;;;
 34121 Sociální pracovníci a ostatní odborní prac. v sociální oblasti ve veřejné správě;3,3;44 487;36 343;40 442;48 199;51 688;44 423;8,8;15,5;7,5;174,6;;;;;;;;;
 34124 Sociální pracovníci v oblasti péče o seniory (kromě péče o zdravotně postižené);1,0;43 727;33 997;38 871;49 070;55 644;44 416;7,4;14,3;7,9;173,8;;;;;;;;;
3511 Technici provozu ICT, technici programátoři;1,2;43 452;32 734;36 992;52 403;64 301;46 625;6,9;22,0;7,1;174,3;;;;;;;;;
3513 Technici počítačových sítí a systémů;1,1;46 111;35 758;40 627;52 801;61 183;47 785;8,6;20,0;7,0;174,6;;;;;;;;;
4110 Všeobecní administrativní pracovníci;10,6;38 258;29 569;33 327;44 570;52 961;40 158;8,9;15,8;7,3;173,7;;;;;;;;;
4120 Sekretáři (všeobecní);2,1;38 445;30 221;33 793;43 558;49 474;39 396;9,1;17,0;7,4;173,6;;;;;;;;;
4131 Pracovníci pro zpracování textů, písaři;1,7;31 987;26 893;29 296;35 064;37 913;32 337;9,9;9,4;7,9;173,5;;;;;;;;;
 41312 Písaři;1,6;31 911;26 825;29 239;34 918;37 659;32 108;10,0;9,0;8,0;173,4;;;;;;;;;
4132 Pracovníci pro zadávání dat;0,2;35 232;28 704;32 243;41 716;50 830;37 850;8,3;16,6;7,9;173,6;;;;;;;;;
4214 Inkasisté pohledávek a příbuzní pracovníci;0,4;37 876;32 304;35 384;40 836;43 873;38 212;6,0;12,9;10,5;173,4;;;;;;;;;
4225 Pracovníci v informačních kancelářích;0,5;36 224;28 287;31 748;39 616;43 679;36 201;7,3;15,6;7,1;173,7;;;;;;;;;
4226 Recepční (kromě recepčních v hotelích a dalších ubytovacích zařízeních);0,4;31 645;24 195;27 475;35 386;39 395;31 830;5,2;20,3;6,9;172,4;;;;;;;;;
4229 Pracovníci informačních služeb jinde neuvedení;0,2;37 460;28 793;32 777;41 575;52 330;38 542;9,7;16,7;6,8;174,6;;;;;;;;;
4311 Úředníci v oblasti účetnictví;3,0;40 888;32 386;36 198;46 444;53 555;42 127;8,8;16,2;7,3;173,8;;;;;;;;;
 43111 Účetní všeobecní;2,1;41 104;32 554;36 350;46 386;53 266;42 099;9,0;15,9;7,2;173,9;;;;;;;;;
 43112 Účetní finanční a investiční;0,3;43 134;34 429;37 661;49 792;57 413;44 937;8,6;18,7;7,6;173,7;;;;;;;;;
4312 Úředníci v oblasti statistiky, finančnictví a pojišťovnictví;0,6;39 713;30 452;34 065;48 338;58 311;42 356;8,4;16,7;7,3;173,4;;;;;;;;;
 43122 Úředníci v oblasti financí ;0,2;43 321;34 067;38 360;51 639;65 885;46 268;7,4;18,0;8,0;173,6;;;;;;;;;
4313 Mzdoví účetní;0,5;43 721;35 086;38 538;49 192;56 333;44 947;10,0;17,7;7,4;174,1;;;;;;;;;
4321 Úředníci ve skladech;0,6;34 003;28 069;30 661;37 972;42 836;34 854;6,7;16,4;8,2;174,1;;;;;;;;;
4323 Pracovníci v dopravě a přepravě;0,7;45 964;34 216;40 021;52 135;57 740;46 381;6,6;23,6;6,9;175,7;;;;;;;;;
 43233 Provozní technici v dopravě;0,3;46 270;33 579;39 165;52 496;58 506;46 406;7,7;22,2;6,8;173,8;;;;;;;;;
4411 Knihovníci;3,8;35 196;28 304;31 557;39 571;45 320;36 470;5,6;11,7;6,3;174,4;;;;;;;;;
4412 Pracovníci poštovního provozu (kromě úředníků na přepážkách);0,3;34 399;27 046;30 148;39 218;48 696;35 741;10,3;14,7;7,4;173,4;;;;;;;;;
4415 Pracovníci evidence dat a archivů;2,1;34 743;28 399;31 397;38 557;44 469;35 824;6,9;12,7;7,0;173,5;;;;;;;;;
4416 Personální referenti;1,0;46 327;34 491;39 466;53 895;62 837;48 116;10,6;19,9;7,7;174,3;;;;;;;;;
4419 Úředníci správy školství,kultury,zdravotnictví,vnitřních věcí státu a ostatní úředníci;10,4;42 866;33 761;37 807;49 265;56 911;44 624;9,5;17,3;7,8;173,8;;;;;;;;;
 44191 Úředníci vnitřních věcí státu a regionálního rozvoje;2,2;42 285;34 059;37 731;49 080;58 138;44 378;10,7;17,7;7,7;173,9;;;;;;;;;
 44192 Úředníci zahraničních vztahů a služeb;0,6;44 004;34 905;38 228;53 882;62 258;47 210;4,9;14,2;8,6;173,5;;;;;;;;;
 44193 Úředníci v oblasti správy školství, kultury a zdravotnictví;1,0;40 296;31 310;35 018;46 618;53 491;41 712;9,4;15,5;6,7;174,1;;;;;;;;;
 44194 Úředníci v oblasti správy průmyslu a dopravy;0,5;41 409;33 814;37 392;45 444;49 642;41 901;8,7;15,6;8,1;173,7;;;;;;;;;
5120 Kuchaři (kromě šéfkuchařů), pomocní kuchaři;21,3;26 708;22 474;24 252;30 119;34 793;27 891;7,8;10,0;4,2;173,9;;;;;;;;;
 51201 Kuchaři (kromě šéfkuchařů);16,0;27 286;23 097;24 853;30 941;35 834;28 586;7,8;10,2;4,1;173,9;;;;;;;;;
 51203 Pomocní kuchaři;5,2;24 867;21 357;22 819;27 632;31 026;25 719;7,9;9,3;4,4;174,0;;;;;;;;;
5151 Vedoucí provozu stravovacích, ubytovacích a dalších zařízení;4,8;35 582;24 097;30 081;40 586;46 118;35 841;8,8;15,8;5,0;173,9;;;;;;;;;
 51511 Vedoucí provozu školních jídelen a menz;3,3;35 681;23 443;29 883;40 207;44 839;35 255;9,9;14,2;3,8;173,6;;;;;;;;;
 51512 Vedoucí provozu v ubytování, stravování,pohostinství (kr. školních jídelen, menz);0,9;34 365;27 117;30 943;40 777;47 551;36 558;5,7;19,1;7,5;174,1;;;;;;;;;
5153 Správci objektů;9,3;28 305;22 097;24 310;33 534;38 692;29 617;8,5;11,8;5,2;174,1;;;;;;;;;
5164 Chovatelé a ošetřovatelé zvířat v zařízeních určených pro chov a příbuzní pracovníci;0,7;33 941;26 727;30 277;39 118;44 064;35 257;5,5;23,8;7,8;174,5;;;;;;;;;
5230 Pokladníci a prodavači vstupenek a jízdenek;1,0;33 995;26 581;29 739;38 387;42 736;34 520;6,8;16,4;6,9;174,1;;;;;;;;;
 52302 Pokladníci v organizacích;0,6;35 446;27 690;31 381;39 646;43 854;35 864;7,3;16,0;7,0;173,9;;;;;;;;;
5312 Asistenti pedagogů;17,9;30 108;26 431;28 055;32 778;36 013;30 772;6,6;5,5;6,3;173,6;;;;;;;;;
 53121 Asistenti učitelů;11,9;29 801;26 339;27 912;32 115;34 618;30 201;6,8;3,2;5,8;173,7;;;;;;;;;
 53122 Asistenti vychovatelů;5,8;30 929;26 690;28 480;34 347;38 600;31 909;6,3;9,8;7,1;173,6;;;;;;;;;
5321 Ošetřovatelé a pracovníci v sociálních službách v oblasti pobytové péče;21,7;37 221;30 975;33 819;40 588;44 183;37 595;5,0;20,9;8,9;167,9;;;;;;;;;
 53211 Ošetřovatelé v oblasti pobytové péče;2,1;38 181;30 920;34 243;43 028;48 515;39 074;4,0;23,5;8,1;169,6;;;;;;;;;
 53212 Pracovníci přímé obslužné péče v oblasti pobytové péče;17,2;37 106;31 025;33 776;40 298;43 523;37 382;4,9;21,0;9,0;167,5;;;;;;;;;
5322 Ošetřovatelé a prac.sociálních služeb v obl. ambulantních,terénních služeb,domácí péče ;2,2;33 565;28 283;30 777;37 236;41 581;34 612;6,4;14,3;7,9;174,2;;;;;;;;;
 53222 Pracovníci přímé obslužné péče ambulantních,terénních služeb,pečovatelé dom. péče;1,7;33 459;28 262;30 616;37 101;40 922;34 397;6,1;14,3;8,2;174,4;;;;;;;;;
5329 Pracovníci osobní péče ve zdravotní a sociální oblasti jinde neuvedení;12,7;38 104;29 462;33 135;45 581;57 152;40 706;3,9;25,8;8,1;173,1;;;;;;;;;
 53295 Sanitáři;9,5;36 554;28 877;32 163;41 964;47 044;37 476;4,2;24,0;7,8;173,5;;;;;;;;;
 53296 Řidiči vozidel zdravotnické záchranné služby;1,8;59 066;51 010;55 069;63 270;69 213;59 941;2,7;33,8;8,8;174,2;;;;;;;;;
5411 Příslušníci HZS ČR a hasiči ostatních jednotek požární ochrany;9,4;51 259;41 033;44 042;60 148;68 000;53 067;2,3;25,4;10,0;165,6;;;;;;;;;
 54111 Příslušníci v jednotkách požární ochrany HZS ČR;7,3;50 310;41 097;43 817;59 178;66 312;52 186;2,0;26,7;9,9;165,6;;;;;;;;;
5412 Policisté;7,7;52 998;39 307;45 702;59 835;66 887;53 056;6,6;33,1;7,1;170,0;;;;;;;;;
 54125 Strážníci;7,5;53 107;39 952;46 066;59 927;66 975;53 400;6,6;33,3;7,1;170,1;;;;;;;;;
5413 Pracovníci vězeňské služby;6,2;50 818;37 572;43 580;59 010;67 731;52 324;1,6;17,4;12,7;173,6;;;;;;;;;
5414 Pracovníci ostrahy a bezpečnostních agentur;2,6;28 060;21 475;24 515;33 091;39 264;29 497;4,9;22,6;6,5;172,3;;;;;;;;;
 54141 Vrátní;1,8;26 689;21 099;23 425;30 438;35 326;27 575;5,1;20,6;6,3;171,9;;;;;;;;;
 54142 Pracovníci ostrahy, strážní;0,7;32 578;24 506;27 867;38 370;45 130;33 813;4,6;26,5;6,8;173,4;;;;;;;;;
6111 Pěstitelé zemědělských plodin ;0,1;24 163;21 517;22 402;26 926;30 008;25 145;3,2;7,1;11,5;174,0;;;;;;;;;
6113 Zahradníci a pěstitelé v zahradnických školkách;1,1;30 391;24 434;26 952;35 317;40 588;31 709;6,9;17,1;7,2;175,9;;;;;;;;;
 61131 Zahradníci pro pěstování zahradních rostlin;0,7;29 886;24 617;26 913;34 325;39 492;31 174;6,6;15,5;7,0;175,6;;;;;;;;;
 61132 Zahradníci krajináři;0,1;32 637;25 353;27 911;41 304;48 646;36 306;7,5;23,5;8,8;177,5;;;;;;;;;
6121 Chovatelé hospodářských zvířat (kromě drůbeže);0,2;33 043;26 288;29 948;39 033;42 044;34 286;8,4;19,5;7,2;182,8;;;;;;;;;
 61211 Chovatelé a ošetřovatelé koní;0,1;33 037;26 967;29 948;37 648;41 381;33 951;8,2;18,7;7,1;183,2;;;;;;;;;
6210 Kvalifikovaní pracovníci v lesnictví a příbuzných oblastech;0,3;35 813;26 235;30 991;42 285;47 882;36 776;6,2;20,5;7,9;175,9;;;;;;;;;
 62101 Kvalifikovaní pracovníci pro pěstění a ošetřování lesa;0,1;34 325;23 615;28 931;38 785;48 080;35 116;7,0;19,4;7,2;176,9;;;;;;;;;
 62102 Kvalifikovaní pracovníci pro těžbu dřeva;0,1;38 691;31 081;33 724;43 439;47 771;38 818;5,0;23,0;9,6;175,4;;;;;;;;;
7112 Zedníci, kamnáři, dlaždiči a montéři suchých staveb;0,5;32 819;28 023;30 207;36 619;40 743;33 913;6,7;18,3;7,1;175,8;;;;;;;;;
 71121 Zedníci (kromě zedníků ohnivzdorného zdiva);0,5;32 952;28 152;30 283;36 727;40 796;34 017;6,8;18,3;7,1;175,9;;;;;;;;;
7115 Tesaři a stavební truhláři;0,1;33 701;27 521;31 663;37 980;44 317;34 960;6,9;18,7;5,8;176,1;;;;;;;;;
 71151 Tesaři;0,1;33 248;26 026;30 374;37 980;44 551;34 355;5,7;17,2;5,9;176,4;;;;;;;;;
 71152 Stavební truhláři;0,0;34 693;30 256;32 997;38 320;41 256;35 745;8,4;20,6;5,8;175,8;;;;;;;;;
7119 Ostatní řemeslníci a kvalifikovaní pracovníci hlavní stavební výroby;0,8;32 630;26 774;29 453;37 208;42 566;34 048;7,1;18,3;4,7;176,1;;;;;;;;;
 71191 Stavební údržbáři budov a inženýrských děl;0,3;33 488;27 662;30 167;36 831;40 375;33 802;7,0;18,2;6,6;175,1;;;;;;;;;
 71194 Stavební montéři (kromě montérů suchých staveb);0,3;30 437;25 561;28 332;34 713;38 534;31 894;7,9;15,7;1,3;174,8;;;;;;;;;
 71195 Kvalifikovaní stavební dělníci hlavní stavební výroby;0,2;36 226;27 885;31 178;42 673;50 596;37 982;6,3;21,6;6,4;179,1;;;;;;;;;
7126 Instalatéři, potrubáři, stavební zámečníci a stavební klempíři;0,4;34 768;29 156;31 472;39 476;44 799;36 242;6,0;20,3;7,4;177,4;;;;;;;;;
 71261 Stavební instalatéři;0,2;33 078;29 066;30 759;37 877;43 004;34 994;5,2;19,1;7,2;176,1;;;;;;;;;
 71263 Instalatéři vodovodů;0,1;35 983;28 628;32 511;40 973;50 554;37 831;5,8;23,3;7,5;178,8;;;;;;;;;
 71264 Instalatéři ústředního topení;0,1;37 480;31 514;32 988;40 214;44 799;37 469;6,4;20,6;7,4;179,0;;;;;;;;;
 71266 Stavební zámečníci;0,0;36 859;30 220;32 679;40 105;42 186;36 562;7,3;20,6;8,1;177,4;;;;;;;;;
7131 Malíři (včetně stavebních lakýrníků a natěračů), tapetáři;0,1;33 716;27 965;29 780;37 113;41 538;34 205;5,8;18,8;5,9;176,9;;;;;;;;;
 71311 Malíři interiérů;0,1;33 660;27 724;29 780;37 149;41 538;34 201;6,0;18,6;5,7;177,0;;;;;;;;;
7222 Nástrojaři a příbuzní pracovníci;2,1;33 559;26 522;29 693;38 117;43 227;34 480;6,9;18,6;6,9;175,6;;;;;;;;;
 72222 Zámečníci strojů;0,1;33 533;27 622;30 249;36 545;43 808;34 603;4,2;20,0;7,5;175,2;;;;;;;;;
 72223 Provozní zámečníci, údržbáři;2,0;33 591;26 457;29 591;38 220;43 295;34 472;7,0;18,6;6,9;175,6;;;;;;;;;
7231 Mechanici a opraváři motorových vozidel;0,5;35 012;29 019;31 178;40 449;45 519;36 262;6,0;20,3;6,5;174,8;;;;;;;;;
 72311 Mechanici a opraváři osobních automobilů;0,2;32 126;27 460;29 916;36 385;43 448;33 997;4,5;17,4;6,2;175,4;;;;;;;;;
 72312 Mechanici a opraváři nákladních automobilů;0,2;38 215;30 671;33 749;42 081;45 176;38 224;7,0;23,2;6,9;174,0;;;;;;;;;
7233 Mechanici a opraváři zemědělských, průmyslových a jiných strojů a zařízení;0,2;34 361;26 598;30 691;38 224;43 813;35 218;5,8;20,4;7,2;175,7;;;;;;;;;
 72334 Mechanici a opraváři zemědělských a lesnických strojů a zařízení;0,0;31 858;27 504;30 069;34 776;37 443;32 229;5,7;17,3;8,2;175,0;;;;;;;;;
7311 Výrobci, mechanici a opraváři přesných přístrojů a zařízení;0,1;37 000;31 950;33 284;47 166;54 193;40 526;5,0;24,6;7,2;179,7;;;;;;;;;
 73112 Výrobci, mechanici a opraváři měřicích a regulačních zařízení (kromě elektro);0,0;40 950;31 963;33 827;49 234;55 655;42 251;4,9;25,8;7,3;182,2;;;;;;;;;
7317 Tradiční zpracovatelé dřeva, proutí a příbuzných materiálů;0,1;33 948;28 698;30 845;38 495;42 110;34 449;5,6;11,6;3,0;176,5;;;;;;;;;
 73172 Umělečtí truhláři a řezbáři;0,1;33 948;28 698;30 845;38 094;41 839;34 331;5,6;11,1;3,0;176,0;;;;;;;;;
7319 Pracovníci v oblasti uměleckých a tradičních řemesel jinde neuvedení;0,1;33 986;28 536;30 962;36 099;43 103;34 386;4,8;12,2;3,9;174,6;;;;;;;;;
 73191 Pracovníci zhotovující umělecké výrobky z kovů;0,0;33 729;28 419;30 845;36 717;43 188;34 459;5,3;12,1;4,6;174,7;;;;;;;;;
7323 Pracovníci konečné úpravy tisku a vazači knih;0,0;28 846;25 341;26 857;34 067;39 848;30 698;3,8;11,0;7,9;176,0;;;;;;;;;
7411 Stavební a provozní elektrikáři;0,5;37 227;30 033;32 954;45 172;52 440;39 647;5,6;24,2;6,7;178,9;;;;;;;;;
7412 Elektromechanici;0,4;34 633;29 091;31 748;39 381;46 045;36 258;5,6;19,2;7,1;175,6;;;;;;;;;
 74121 Elektromechanici elektrických zařízení (kromě zařízení v dopravních prostředcích);0,1;34 567;29 888;32 487;37 720;44 428;35 923;5,5;18,0;7,3;175,4;;;;;;;;;
 74123 Provozní elektromechanici;0,3;34 631;28 567;31 549;40 504;47 203;36 437;5,7;19,8;7,0;175,8;;;;;;;;;
7413 Montéři a opraváři elektrických vedení;0,0;37 566;32 823;35 564;43 216;50 463;39 743;6,9;23,9;8,1;179,0;;;;;;;;;
7421 Mechanici a opraváři elektronických přístrojů;0,1;45 789;36 128;39 546;51 604;58 880;46 916;6,3;26,3;5,5;187,5;;;;;;;;;
7522 Truhláři (kromě stavebních) a pracovníci v příbuzných oborech;0,2;33 626;28 126;30 404;37 394;41 146;34 176;5,9;17,5;7,2;174,9;;;;;;;;;
7531 Krejčí, kožešníci a kloboučníci;0,3;30 639;25 693;28 382;32 760;35 040;30 783;4,4;8,6;2,5;174,7;;;;;;;;;
 75311 Krejčí;0,3;30 689;25 650;28 382;32 794;35 040;30 800;4,4;8,6;2,6;174,7;;;;;;;;;
7533 Švadleny, šičky, vyšívači a pracovníci v příbuzných oborech;0,2;29 068;24 149;26 085;31 760;34 507;29 271;6,8;15,9;5,9;175,4;;;;;;;;;
8157 Obsluha strojů v prádelnách a čistírnách;1,1;26 522;22 821;24 566;29 228;32 667;27 469;7,3;17,0;7,7;174,3;;;;;;;;;
8182 Obsluha parních turbín, kotlů a příbuzných zařízení;0,6;34 659;25 799;29 822;40 925;48 321;36 171;4,4;24,8;6,5;176,5;;;;;;;;;
 81822 Obsluha kotlů na vytápění, ohřívačů a výměníků (kromě obsluhy kotlů lodí a lokomotiv);0,5;34 269;25 709;29 361;39 630;46 467;35 326;4,2;24,0;6,4;176,3;;;;;;;;;
8189 Obsluha stacionárních strojů a zařízení jinde neuvedená;0,4;36 642;27 791;32 066;41 387;46 793;37 133;5,4;23,9;7,4;177,5;;;;;;;;;
 81891 Obsluha zařízení ve vodárenství a vodohospodářství (včetně čistíren vody);0,4;36 878;27 791;32 267;41 248;46 495;37 203;5,2;24,0;7,5;177,5;;;;;;;;;
8322 Řidiči osobních a malých dodávkových automobilů, taxikáři ;2,6;36 464;27 491;31 026;46 077;55 614;39 329;6,5;23,4;6,9;181,7;;;;;;;;;
 83221 Řidiči osobních a malých dodávkových automobilů (kr.taxi,zdrav.dopr.služby);2,0;34 361;26 783;29 899;42 068;53 565;37 377;7,2;22,0;6,7;181,3;;;;;;;;;
 83223 Řidiči zdravotnické dopravní služby;0,6;45 084;33 698;37 456;52 109;57 929;45 381;4,8;26,7;7,4;183,0;;;;;;;;;
8331 Řidiči autobusů, trolejbusů a tramvají;0,4;47 408;36 597;43 126;51 831;56 818;47 247;9,7;14,4;10,3;206,5;;;;;;;;;
 83311 Řidiči autobusů v městské hromadné dopravě;0,4;48 658;40 961;45 023;52 747;57 497;48 889;10,7;13,6;10,7;209,9;;;;;;;;;
 83312 Řidiči autobusů v dálkové přepravě osob;0,1;36 597;29 106;31 676;42 804;48 001;37 824;2,5;19,7;7,1;187,1;;;;;;;;;
8332 Řidiči nákladních automobilů, tahačů a speciálních vozidel;4,0;41 030;30 996;35 810;44 710;48 710;40 424;6,2;27,9;6,3;176,7;;;;;;;;;
 83321 Řidiči nákladních automobilů (kromě tahačů);2,8;41 979;32 563;37 703;45 584;49 756;41 577;5,7;29,7;5,9;177,1;;;;;;;;;
 83323 Řidiči popelářských vozů;0,1;36 676;31 481;32 991;39 118;42 687;37 272;7,3;19,4;8,3;180,0;;;;;;;;;
 83324 Řidiči silničních úklidových vozidel;0,4;34 518;27 079;29 714;38 651;42 976;35 012;7,5;21,3;7,5;176,9;;;;;;;;;
8341 Řidiči a obsluha zemědělských a lesnických strojů;0,5;33 426;27 374;29 973;37 359;42 035;34 050;7,1;19,8;7,3;176,3;;;;;;;;;
 83411 Řidiči a obsluha zemědělských strojů;0,5;33 268;27 411;30 036;37 359;42 104;34 084;7,2;19,7;7,3;176,5;;;;;;;;;
 83412 Řidiči a obsluha lesnických strojů;0,1;34 170;26 434;29 705;37 459;42 016;33 736;6,9;20,6;7,7;174,3;;;;;;;;;
8342 Obsluha železničních, zemních a příbuzných strojů a zařízení;0,1;35 553;28 813;31 375;40 493;44 138;36 389;7,5;21,1;6,4;176,4;;;;;;;;;
 83422 Obsluha zemních a příbuzných strojů;0,1;35 457;28 813;31 375;40 493;44 059;36 008;7,4;20,9;6,5;176,4;;;;;;;;;
8344 Obsluha vysokozdvižných a jiných vozíků a skladníci;0,5;30 052;25 276;27 426;33 196;37 257;30 739;4,8;17,7;7,4;175,4;;;;;;;;;
 83443 Skladníci, obsluha manipulačních vozíků;0,5;30 051;25 259;27 406;33 190;37 314;30 718;4,8;17,8;7,4;175,5;;;;;;;;;
9112 Uklízeči a pomocníci v hotelích, administrativních, průmyslových a jiných objektech;25,3;22 945;19 987;21 126;25 495;28 936;23 911;7,2;10,5;5,3;174,2;;;;;;;;;
 91121 Uklízeči a pomocníci v administrativních objektech;3,6;22 728;19 886;20 831;25 347;28 413;23 605;6,8;10,7;6,4;173,8;;;;;;;;;
 91122 Uklízeči a pomocníci ve zdravotnických a sociálních zařízeních;4,5;26 174;22 008;23 805;29 439;33 518;27 141;6,3;18,5;7,7;175,4;;;;;;;;;
 91123 Uklízeči a pomocníci v ubytovacích a vzdělávacích zařízeních;15,0;22 179;19 789;20 759;23 886;26 030;22 650;7,8;6,8;4,1;173,8;;;;;;;;;
 91127 Uklízeči prodejních prostor;0,4;25 974;20 867;23 260;29 217;31 966;26 593;8,1;16,0;6,7;174,5;;;;;;;;;
9121 Pracovníci pro ruční praní a žehlení ;0,4;25 917;21 432;23 224;27 990;30 339;26 033;7,9;14,4;6,7;173,4;;;;;;;;;
9333 Pomocní manipulační pracovníci (kromě výroby);1,0;29 610;23 139;26 435;33 515;37 659;30 142;6,3;18,6;7,3;176,3;;;;;;;;;
 93331 Pomocní skladníci;0,3;29 461;23 727;27 312;33 424;37 826;30 398;6,0;16,0;6,9;175,2;;;;;;;;;
 93333 Pomocní pracovníci obchodního provozu;0,3;30 372;23 098;26 774;33 673;36 955;30 343;7,2;21,3;7,9;176,7;;;;;;;;;
9412 Pomocníci v kuchyni;1,5;24 421;21 156;22 423;27 459;32 020;25 709;7,6;10,7;4,6;174,7;;;;;;;;;
9613 Uklízeči veřejných prostranství, čističi kanalizací a příbuzní pracovníci;7,1;27 323;20 156;22 787;32 295;37 102;28 168;6,8;16,4;7,1;175,2;;;;;;;;;
 96131 Uklízeči veřejných prostranství;6,0;26 796;20 023;22 499;31 758;36 679;27 720;6,8;16,0;7,1;175,1;;;;;;;;;
9622 Pomocní pracovníci údržby budov a souvisejících prostor;1,3;30 211;23 084;26 326;35 101;40 157;31 167;7,4;16,3;6,7;175,5;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
